,s,cR
0,0.0,0.0
1,0.002,0.0
2,0.004,0.0
3,0.006,0.0
4,0.008,0.0
5,0.01,0.0
6,0.012,0.0
7,0.014,0.0
8,0.016,0.0
9,0.018000000000000002,0.0
10,0.02,0.0
11,0.022,0.0
12,0.024,0.0
13,0.026000000000000002,0.0
14,0.028,0.0
15,0.03,0.0
16,0.032,0.0
17,0.034,0.0
18,0.036000000000000004,0.0
19,0.038,0.0
20,0.04,0.0
21,0.042,0.0
22,0.044,0.0
23,0.046,0.0
24,0.048,0.0
25,0.05,0.0
26,0.052000000000000005,0.0
27,0.054,0.0
28,0.056,0.0
29,0.058,0.0
30,0.06,0.0
31,0.062,0.0
32,0.064,0.0
33,0.066,0.0
34,0.068,0.0
35,0.07,0.0
36,0.07200000000000001,0.0
37,0.074,0.0
38,0.076,0.0
39,0.078,0.0
40,0.08,0.0
41,0.082,0.0
42,0.084,0.0
43,0.08600000000000001,0.0
44,0.088,0.0
45,0.09,0.0
46,0.092,0.0
47,0.094,0.0
48,0.096,0.0
49,0.098,0.0
50,0.1,0.0
51,0.10200000000000001,0.0
52,0.10400000000000001,0.0
53,0.106,0.0
54,0.108,0.0
55,0.11,0.0
56,0.112,0.0
57,0.114,0.0
58,0.116,0.0
59,0.11800000000000001,0.0
60,0.12,0.0
61,0.122,0.0
62,0.124,0.0
63,0.126,0.0
64,0.128,0.0
65,0.13,0.0
66,0.132,0.0
67,0.134,0.0
68,0.136,0.0
69,0.138,0.0
70,0.14,0.0
71,0.14200000000000002,0.0
72,0.14400000000000002,0.0
73,0.146,0.0
74,0.148,0.0
75,0.15,0.0
76,0.152,0.0
77,0.154,0.0
78,0.156,0.0
79,0.158,0.0
80,0.16,0.0
81,0.162,0.0
82,0.164,0.0
83,0.166,0.0
84,0.168,0.0
85,0.17,0.0
86,0.17200000000000001,0.0
87,0.17400000000000002,0.0
88,0.176,0.0
89,0.178,0.0
90,0.18,0.0
91,0.182,0.0
92,0.184,0.0
93,0.186,0.0
94,0.188,0.0
95,0.19,0.0
96,0.192,0.0
97,0.194,0.0
98,0.196,0.0
99,0.198,0.0
100,0.2,0.0
101,0.202,0.0
102,0.20400000000000001,0.0
103,0.20600000000000002,0.0
104,0.20800000000000002,0.0
105,0.21,0.0
106,0.212,0.0
107,0.214,0.0
108,0.216,0.0
109,0.218,0.0
110,0.22,0.0
111,0.222,0.0
112,0.224,0.0
113,0.226,0.0
114,0.228,0.0
115,0.23,0.0
116,0.232,0.0
117,0.234,0.0
118,0.23600000000000002,0.0
119,0.23800000000000002,0.0
120,0.24,0.0
121,0.242,0.0
122,0.244,0.0
123,0.246,0.0
124,0.248,0.0
125,0.25,0.0
126,0.252,0.0
127,0.254,0.0
128,0.256,0.0
129,0.258,0.0
130,0.26,0.0
131,0.262,0.0
132,0.264,0.0
133,0.266,0.0
134,0.268,0.0
135,0.27,0.0
136,0.272,0.0
137,0.274,0.0
138,0.276,0.0
139,0.278,0.0
140,0.28,0.0
141,0.28200000000000003,0.0
142,0.28400000000000003,0.0
143,0.28600000000000003,0.0
144,0.28800000000000003,0.0
145,0.29,0.0
146,0.292,0.0
147,0.294,0.0
148,0.296,0.0
149,0.298,0.0
150,0.3,0.0
151,0.302,0.0
152,0.304,0.0
153,0.306,0.0
154,0.308,0.0
155,0.31,0.0
156,0.312,0.0
157,0.314,0.0
158,0.316,0.0
159,0.318,0.0
160,0.32,0.0
161,0.322,0.0
162,0.324,0.0
163,0.326,0.0
164,0.328,0.0
165,0.33,0.0
166,0.332,0.0
167,0.334,0.0
168,0.336,0.0
169,0.338,0.0
170,0.34,0.0
171,0.342,0.0
172,0.34400000000000003,0.0
173,0.34600000000000003,0.0
174,0.34800000000000003,0.0
175,0.35000000000000003,0.0
176,0.352,0.0
177,0.354,0.0
178,0.356,0.0
179,0.358,0.0
180,0.36,0.0
181,0.362,0.0
182,0.364,0.0
183,0.366,0.0
184,0.368,0.0
185,0.37,0.0
186,0.372,0.0
187,0.374,0.0
188,0.376,0.0
189,0.378,0.0
190,0.38,0.0
191,0.382,0.0
192,0.384,0.0
193,0.386,0.0
194,0.388,0.0
195,0.39,0.0
196,0.392,0.0
197,0.394,0.0
198,0.396,0.0
199,0.398,0.0
200,0.4,0.0
201,0.402,0.0
202,0.404,0.0
203,0.406,0.0
204,0.40800000000000003,0.0
205,0.41000000000000003,0.0
206,0.41200000000000003,0.0
207,0.41400000000000003,0.0
208,0.41600000000000004,0.0
209,0.418,0.0
210,0.42,0.0
211,0.422,0.0
212,0.424,0.0
213,0.426,0.0
214,0.428,0.0
215,0.43,0.0
216,0.432,0.0
217,0.434,0.0
218,0.436,0.0
219,0.438,0.0
220,0.44,0.0
221,0.442,0.0
222,0.444,0.0
223,0.446,0.0
224,0.448,0.0
225,0.45,0.0
226,0.452,0.0
227,0.454,0.0
228,0.456,0.0
229,0.458,0.0
230,0.46,0.0
231,0.462,0.0
232,0.464,0.0
233,0.466,0.0
234,0.468,0.0
235,0.47000000000000003,0.1317704655468399
236,0.47200000000000003,0.12900562280732275
237,0.47400000000000003,0.12627387435990145
238,0.47600000000000003,0.12357508920765825
239,0.47800000000000004,0.12090913529167968
240,0.48,0.11861032850820474
241,0.482,0.11600526724208526
242,0.484,0.113758973115612
243,0.486,0.11153693356051153
244,0.488,0.10933908352630983
245,0.49,0.10716535671162808
246,0.492,0.10501568566307395
247,0.494,0.10289000187033559
248,0.496,0.1007882358576242
249,0.498,0.09871031727159907
250,0.5,0.09695355685277085
251,0.502,0.09491951606982352
252,0.504,0.09319985558686816
253,0.506,0.0912094718080817
254,0.508,0.08952674675814098
255,0.51,0.08786091995547629
256,0.512,0.08621196026130429
257,0.514,0.08457983577413586
258,0.516,0.08296451387926107
259,0.518,0.0813659612965768
260,0.52,0.079784144126817
261,0.522,0.07821902789623325
262,0.524,0.07693145873479768
263,0.526,0.07539671646362667
264,0.528,0.07413413164001526
265,0.53,0.07262966123601589
266,0.532,0.0713919913784894
267,0.534,0.0699176867917497
268,0.536,0.06870485849806551
269,0.538,0.06750323691779359
270,0.54,0.06631280932750439
271,0.542,0.06489565726066926
272,0.544,0.06372992886225737
273,0.546,0.06257534745293347
274,0.548,0.061431898780184624
275,0.55,0.060299568256951375
276,0.552,0.05917834098135388
277,0.554,0.05829209613688002
278,0.556,0.05719071637439466
279,0.558,0.056100399669159584
280,0.56,0.05502113001180142
281,0.562,0.05416804344711801
282,0.5640000000000001,0.05310852886069428
283,0.5660000000000001,0.05227106654795233
284,0.5680000000000001,0.051231263158491136
285,0.5700000000000001,0.050409398518455384
286,0.5720000000000001,0.049389260712018324
287,0.5740000000000001,0.048582965394448174
288,0.5760000000000001,0.04758244601810224
289,0.578,0.046791690080049464
290,0.58,0.0460077980953465
291,0.582,0.045230765503124326
292,0.584,0.04426709629462
293,0.586,0.04350554650920668
294,0.588,0.042750838310510075
295,0.59,0.04200296651183322
296,0.592,0.04126192578708121
297,0.594,0.04052771067776206
298,0.596,0.03980031559981145
299,0.598,0.03907973485025262
300,0.6,0.038365962613686855
301,0.602,0.037658992968626515
302,0.604,0.03695881989366889
303,0.606,0.03643953708004022
304,0.608,0.03575119420814532
305,0.61,0.03506963230170457
306,0.612,0.03439484498239409
307,0.614,0.03389440833927193
308,0.616,0.03323141718452716
309,0.618,0.03257518401446324
310,0.62,0.032088532909734235
311,0.622,0.031444069916694906
312,0.624,0.030966168290574747
313,0.626,0.030333459075554292
314,0.628,0.029864298311539916
315,0.63,0.02924332597220114
316,0.632,0.02878289692158087
317,0.634,0.028173644109965812
318,0.636,0.02772193714157556
319,0.638,0.027124386119215083
320,0.64,0.026681391166962554
321,0.642,0.026242113022762803
322,0.644,0.02566123046577229
323,0.646,0.025230650073344796
324,0.648,0.02480378132894223
325,0.65,0.0243806228369271
326,0.652,0.023961173159187665
327,0.654,0.023406866301451723
328,0.656,0.022996090970118566
329,0.658,0.022589018680810646
330,0.66,0.022185647847400736
331,0.662,0.02178597685036676
332,0.664,0.021390004038441712
333,0.666,0.02099772773023323
334,0.668,0.020609146215805008
335,0.67,0.020224257758229336
336,0.672,0.019843060595105322
337,0.674,0.01946555294004626
338,0.676,0.0190917329841358
339,0.678,0.01872159889735514
340,0.68,0.01835514882997935
341,0.682,0.017992380913946504
342,0.684,0.017633293264196492
343,0.686,0.0173964133719271
344,0.6880000000000001,0.01704343829227739
345,0.6900000000000001,0.0166941388670655
346,0.6920000000000001,0.016348513148809363
347,0.6940000000000001,0.016006559179149393
348,0.6960000000000001,0.015781021112650007
349,0.6980000000000001,0.015445167584304031
350,0.7000000000000001,0.01511298097519076
351,0.7020000000000001,0.014893912729976422
352,0.704,0.014567819617587241
353,0.706,0.014245388493840938
354,0.708,0.014032785232183542
355,0.71,0.013716440437300692
356,0.712,0.01340375262408633
357,0.714,0.013197609120932374
358,0.716,0.012891000289848131
359,0.718,0.012688888361495843
360,0.72,0.012388354079196029
361,0.722,0.012190271809307873
362,0.724,0.0118958075794936
363,0.726,0.011701752967901324
364,0.728,0.011413354241755602
365,0.73,0.011223325212959878
366,0.732,0.010940987399197133
367,0.734,0.010754981810551345
368,0.736,0.010478700285101228
369,0.738,0.010296715934694944
370,0.74,0.010116335985584146
371,0.742,0.00984852068428177
372,0.744,0.009672159010525871
373,0.746,0.0094103890993803
374,0.748,0.009238043377968297
375,0.75,0.009067300393189148
376,0.752,0.008898159917628212
377,0.754,0.008647251892978436
378,0.756,0.008482123465427427
379,0.758,0.008318596523931299
380,0.76,0.008076129438624569
381,0.762,0.00791661132155963
382,0.764,0.007758693627741509
383,0.766,0.007602376094553276
384,0.768,0.007447658455075001
385,0.77,0.007218434046100786
386,0.772,0.007067720290054869
387,0.774,0.006918605312742354
388,0.776,0.0067710888338763375
389,0.778,0.006625170570037753
390,0.78,0.006480850234886093
391,0.782,0.006267249898683103
392,0.784,0.006126927549451877
393,0.786,0.005988201975884788
394,0.788,0.005851072883879538
395,0.79,0.00571553997746721
396,0.792,0.005581602959002008
397,0.794,0.005449261529349436
398,0.796,0.005318515388071154
399,0.798,0.00518936423360572
400,0.8,0.005061807763447335
401,0.802,0.00493584567432237
402,0.804,0.004811477662360564
403,0.806,0.004688703423266105
404,0.808,0.004567522652484501
405,0.81,0.004447935045366891
406,0.812,0.0043299402973321355
407,0.8140000000000001,0.0042135381040251385
408,0.8160000000000001,0.0040987281614748294
409,0.8180000000000001,0.003985510166247264
410,0.8200000000000001,0.0038738838155971678
411,0.8220000000000001,0.003763848807618042
412,0.8240000000000001,0.0036554048413879325
413,0.8260000000000001,0.003601824427295952
414,0.8280000000000001,0.0034957642756759943
415,0.8300000000000001,0.00339129449784481
416,0.8320000000000001,0.0032884147954813647
417,0.834,0.0031871248719147482
418,0.836,0.003087424432259178
419,0.838,0.002989313183545339
420,0.84,0.0029408855118370214
421,0.842,0.0028451558024013
422,0.844,0.0027510146274128955
423,0.846,0.002658461699861059
424,0.848,0.002567496735249697
425,0.85,0.0025226345430153785
426,0.852,0.0024340495827819275
427,0.854,0.002347051944905809
428,0.856,0.0022616413530037738
429,0.858,0.0022195512698325315
430,0.86,0.0021365195249430924
431,0.862,0.002055074201919971
432,0.864,0.001975215034082267
433,0.866,0.0019358962876983021
434,0.868,0.0018584148317376536
435,0.87,0.0017825189275476605
436,0.872,0.0017451790760323327
437,0.874,0.001671660112225859
438,0.876,0.001599726112963773
439,0.878,0.0015643647793358584
440,0.88,0.0014948069653999418
441,0.882,0.0014268335470086768
442,0.884,0.0013934503488418626
443,0.886,0.0013278523805880793
444,0.888,0.0012638382590596242
445,0.89,0.0012324328122761408
446,0.892,0.0011707934288518462
447,0.894,0.001140574327144761
448,0.896,0.0010813092878816377
449,0.898,0.001023627276788841
450,0.9,0.0009953853351543085
451,0.902,0.000940076997846262
452,0.904,0.0009130210778098835
453,0.906,0.0008600860446945635
454,0.908,0.0008342160323556724
455,0.91,0.0007836539435482903
456,0.912,0.0007346738633028371
457,0.914,0.0007107802318785383
458,0.916,0.0006641724944327354
459,0.918,0.000641464459559149
460,0.92,0.0005972287358874118
461,0.922,0.0005757061899815952
462,0.924,0.0005338421631619905
463,0.926,0.0005135050011402242
464,0.928,0.0004740123669817464
465,0.93,0.0004548604866860817
466,0.932,0.0004177389543407184
467,0.934,0.0003997722569550888
468,0.936,0.0003822005393619987
469,0.9380000000000001,0.00034823993996646596
470,0.9400000000000001,0.00033185328788976065
471,0.9420000000000001,0.00030026318239573246
472,0.9440000000000001,0.00028506150562823684
473,0.9460000000000001,0.0002558416505223926
474,0.9480000000000001,0.0002418248635277509
475,0.9500000000000001,0.00022820298722470156
476,0.9520000000000001,0.00020214305343169148
477,0.9540000000000001,0.00018970596684164676
478,0.9560000000000001,0.0001660157889641356
479,0.9580000000000001,0.00015476341820597206
480,0.96,0.00014390591611135317
481,0.962,0.00012337508346904613
482,0.964,0.00011370221248774293
483,0.966,9.554072860629148e-05
484,0.968,8.705242849482708e-05
485,0.97,7.895896166798533e-05
486,0.972,6.395636141365291e-05
487,0.974,5.704739876399856e-05
488,0.976,5.053325326331848e-05
489,0.978,3.868933104600458e-05
490,0.98,3.3359634151963746e-05
491,0.982,2.8424741126742425e-05
492,0.984,1.973933183152532e-05
493,0.986,1.598884378584131e-05
494,0.988,1.2633149502727647e-05
495,0.99,7.106130189504789e-06
496,0.992,4.934809991641309e-06
497,0.994,3.1582769293159174e-06
498,0.996,1.7765300773797676e-06
499,0.998,1.9739209555780235e-07
500,1.0,0.0
